country,month,no2_avg
bangkok,2022-02-01,0.021860465116279072
bangkok,2022-03-01,0.013004032258064516
bangkok,2022-04-01,0.014624999999999999
bangkok,2022-05-01,0.01409274193548387
bangkok,2022-06-01,0.012131944444444443
bangkok,2022-07-01,0.010477150537634409
bangkok,2022-08-01,0.013044354838709677
bangkok,2022-09-01,0.015131944444444444
bangkok,2022-10-01,0.019798387096774193
bangkok,2022-11-01,0.023875
bangkok,2022-12-01,0.02469758064516129
bangkok,2023-01-01,0.024555981835264643
bangkok,2023-02-01,0.026127631199538637
bangkok,2023-03-01,0.009690860215053764
bangkok,2023-04-01,0.01038888888888889
bangkok,2023-05-01,0.009166666666666667
bangkok,2023-06-01,0.00951388888888889
bangkok,2023-07-01,0.009576612903225807
bangkok,2023-08-01,0.01122983870967742
bangkok,2023-09-01,0.01145138888888889
bangkok,2023-10-01,0.016774193548387096
bangkok,2023-11-01,0.021659722222222223
bangkok,2023-12-01,0.022466397849462364
bangkok,2024-01-01,0.02362691001697793
bangkok,2024-02-01,0.00962870538415003
bangkok,2024-03-01,0.00540994623655914
bangkok,2024-04-01,0.003638888888888889
bangkok,2024-05-01,0.008918010752688171
bangkok,2024-06-01,0.004590277777777778
bangkok,2024-07-01,0.008629032258064516
bangkok,2024-08-01,0.012950268817204302
bangkok,2024-09-01,0.014965277777777779
bangkok,2024-10-01,0.0190994623655914
bangkok,2024-11-01,0.020784722222222222
bangkok,2024-12-01,0.02274193548387097
bangkok,2025-01-01,0.028172043010752688
bangkok,2025-02-01,0.019702380952380954
bangkok,2025-03-01,0.01502016129032258
bangkok,2025-04-01,0.012687499999999999
bangkok,2025-05-01,0.017163978494623654
bangkok,2025-06-01,0.010361135758651286
bangkok,2025-07-01,0.01007015007966721
bangkok,2025-08-01,0.010070984915705412
bangkok,2025-09-01,0.010070984915705412
bangkok,2025-10-01,0.010070984915705412
bangkok,2025-11-01,0.0171771911663216
bangkok,2025-12-01,0.029173387096774195
bangkok,2026-01-01,0.03127016129032258
bangkok,2026-02-01,0.02115327380952381
bangkok,2026-03-01,0.014811827956989246
bangkok,2026-04-01,0.009020833333333334
bangkok,2026-05-01,0.014254032258064517
bangkok,2026-06-01,0.011166666666666668
bangkok,2026-07-01,0.01
canberra,2022-01-01,0.0
canberra,2022-02-01,0.0003720238095238095
canberra,2022-03-01,0.00016129032258064516
canberra,2022-04-01,0.0013194444444444445
canberra,2022-05-01,0.00364247311827957
canberra,2022-06-01,0.004604166666666667
canberra,2022-07-01,0.004489247311827957
canberra,2022-08-01,0.0034005376344086024
canberra,2022-09-01,0.0025069444444444445
canberra,2022-10-01,0.0004032258064516129
canberra,2022-11-01,0.0004375
canberra,2022-12-01,0.0003225806451612903
canberra,2023-01-01,0.0003360215053763441
canberra,2023-02-01,0.0011397664835164835
canberra,2023-03-01,0.0011088709677419355
canberra,2023-04-01,0.002125
canberra,2023-05-01,0.004334093034128097
canberra,2023-06-01,0.004180555555555556
canberra,2023-07-01,0.0049395161290322585
canberra,2023-08-01,0.002943548387096774
canberra,2023-09-01,0.0036944444444444446
canberra,2023-10-01,0.000961021505376344
canberra,2023-11-01,0.00044444444444444447
canberra,2023-12-01,0.0010483870967741935
canberra,2024-01-01,0.0002956989247311828
canberra,2024-02-01,0.00014367816091954023
canberra,2024-03-01,0.00028225806451612906
canberra,2024-04-01,0.001375
canberra,2024-05-01,0.0032459677419354837
canberra,2024-06-01,0.004201388888888889
canberra,2024-07-01,0.002600806451612903
canberra,2024-08-01,0.004193548387096774
canberra,2024-09-01,0.0015069444444444444
canberra,2024-10-01,0.0008064516129032258
canberra,2024-11-01,0.0007569444444444445
canberra,2024-12-01,0.00042338709677419353
canberra,2025-01-01,0.00018817204301075272
canberra,2025-02-01,0.0005877976190476191
canberra,2025-03-01,0.0013172043010752689
canberra,2025-04-01,0.0023472222222222223
canberra,2025-05-01,0.003111559139784946
canberra,2025-06-01,0.005611111111111111
canberra,2025-07-01,0.003581989247311828
canberra,2025-08-01,0.003635752688172043
canberra,2025-09-01,0.001902777777777778
canberra,2025-10-01,0.0012298387096774195
canberra,2025-11-01,0.0010555555555555557
canberra,2025-12-01,0.0008870967741935484
canberra,2026-01-01,0.0006854838709677419
canberra,2026-02-01,0.0007291666666666667
canberra,2026-03-01,0.0008870967741935484
canberra,2026-04-01,0.0024722222222222224
canberra,2026-05-01,0.0015188172043010754
canberra,2026-06-01,0.0018333333333333335
canberra,2026-07-01,0.0015517241379310344
hongkong,2022-01-01,0.037016129032258066
hongkong,2022-02-01,0.03159226190476191
hongkong,2022-03-01,0.033022700119474314
hongkong,2022-04-01,0.031131944444444445
hongkong,2022-05-01,0.030221774193548386
hongkong,2022-06-01,0.024569444444444446
hongkong,2022-07-01,0.027520161290322583
hongkong,2022-08-01,0.031081989247311828
hongkong,2022-09-01,0.05213194444444445
hongkong,2022-10-01,0.037762096774193545
hongkong,2022-11-01,0.0296875
hongkong,2022-12-01,0.04210349462365591
hongkong,2023-01-01,0.03516155525327115
hongkong,2023-02-01,0.03903919525176449
hongkong,2023-03-01,0.03511100887638017
hongkong,2023-04-01,0.03791666666666667
hongkong,2023-05-01,0.03599462365591398
hongkong,2023-06-01,0.028717592592592593
hongkong,2023-07-01,0.029789426523297493
hongkong,2023-08-01,0.03359360535498113
hongkong,2023-09-01,0.029280555555555556
hongkong,2023-10-01,0.03516532258064516
hongkong,2023-11-01,0.039625
hongkong,2023-12-01,0.04147177419354839
hongkong,2024-01-01,0.04044962877624168
hongkong,2024-02-01,0.032400109469074984
